Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206_3216Metric,133.65,-101.65,0,top
C2,4.7uF,C_1206_3216Metric,126.45,-101.45,-90,top
C3,470nF,C_0603_1608Metric,133.8,-103.55,0,top
C4,470nF,C_0603_1608Metric,129.15,-99.875,0,top
C5,470nF,C_0603_1608Metric,103.325,-112.05,-90,top
C6,4.7uF,C_1206_3216Metric,134.525,-112.75,0,top
C7,22uF,C_0603_1608Metric,101.825,-112.05,-90,top
C8,220pF,C_0402_1005Metric,127.075,-107.375,-90,top
D1,SS14,D_SMA,132.1,-106.15,180,top
J1,Conn_01x04_Pin,470531000,147.227,-98.97,0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,143.919615,-113.760385,0,top
L1,10uH,L_Sunlord_SWPA3015S,134,-109.725,90,top
L2,10uH,L_Sunlord_SWPA3015S,129.525,-102.475,180,top
R1,1R,C_0603_1608Metric,136.75,-101.975,90,top
R2,117K,R_0402_1005Metric,128.05,-107.385,-90,top
R3,4.7K,R_0402_1005Metric,105.475,-109.95,0,top
R4,4.7K,R_0402_1005Metric,106.225,-114.15,0,top
R5,13.3K,R_0402_1005Metric,128.05,-109.335,-90,top
R6,1R,C_0603_1608Metric,125.85,-105.3,90,top
R7,1R,C_0603_1608Metric,136.75,-104.975,90,top
R8,1R,C_0603_1608Metric,125.85,-108.325,90,top
R9,5.1K,R_0402_1005Metric,133,-98.1,180,top
R10,5.1K,R_0402_1005Metric,133,-99.15,180,top
R11,1R,C_0603_1608Metric,102.575,-114.325,180,top
R12,13.3K,R_0402_1005Metric,126.85,-111.8,-90,top
U1,ESP32-S3-MINI-1,ESP32-S2-MINI-1,116.19,-102.79,0,top
U3,HDC3020DEFR,SON50P250X250X80-9N-D,106.225,-112.05,180,top
U4,LM27313XMF_NOPB,SOT95P280X145-5N,130.35,-110.075,-90,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,104.475,-104.95,90,top
